file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/StarredResource.java,com.sismics.reader.rest.resource.StarredResource,"get/2[java.lang.Integer,java.lang.String]",false,48,13,3,0,3,5,23,26,1,8,2,23,0,0,1,1,0,0,5,0,8,0,2,0,0,0,27,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/StarredResource.java,com.sismics.reader.rest.resource.StarredResource,unstarMultiple/1[java.util.List<java.lang.String>],false,203,11,2,0,2,4,11,17,1,3,1,11,0,0,1,1,0,0,6,0,3,0,2,0,0,0,28,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/StarredResource.java,com.sismics.reader.rest.resource.StarredResource,starMultiple/1[java.util.List<java.lang.String>],false,169,11,2,0,2,4,11,17,1,3,1,11,0,0,1,1,0,0,6,0,3,0,2,0,0,0,29,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/StarredResource.java,com.sismics.reader.rest.resource.StarredResource,star/1[java.lang.String],false,99,11,2,0,2,4,12,18,1,3,1,12,0,0,0,2,0,0,8,0,3,0,1,0,0,0,27,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/StarredResource.java,com.sismics.reader.rest.resource.StarredResource,unstar/1[java.lang.String],false,134,11,2,0,2,4,12,18,1,3,1,12,0,0,0,2,0,0,8,0,3,0,1,0,0,0,26,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,"register/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,76,14,3,0,3,5,32,50,1,8,4,32,0,0,0,1,1,0,17,7,12,0,2,0,0,0,32,1,0,false
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,"login/3[java.lang.String,java.lang.String,boolean]",false,367,11,0,0,0,3,10,19,1,8,3,10,0,0,0,1,0,0,5,1,10,0,1,0,0,0,51,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,"update/10[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Boolean,java.lang.Boolean,java.lang.Boolean,java.lang.Boolean,java.lang.Boolean,java.lang.Boolean]",false,167,12,6,0,6,15,33,52,1,5,10,33,0,0,0,9,0,0,16,3,11,0,1,0,0,0,55,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,view/1[java.lang.String],false,603,11,2,0,2,3,11,17,1,3,1,11,0,0,0,1,0,0,8,0,3,0,1,0,0,0,25,1,0,true
/Users/shravangadbail/Desktop/College/3.2/SE/Project/Project-1/Code/8/project-1-team-27/./reader-web/src/main/java/com/sismics/reader/rest/resource/UserResource.java,com.sismics.reader.rest.resource.UserResource,info/0,false,514,15,4,0,4,12,34,77,1,20,0,34,0,0,2,2,0,1,29,4,20,0,4,0,0,0,38,1,0,true
